hash,author,date,category,summary
d44f1c65239c3e33509224aa1931631243dbfa7f,Tero Vuotila,2025-07-16 12:21:50+03:00,refactor/others,relax type hint for bytes io
c56c5ec7c41e6ffd02516bf7cb80dd2ba9ba7aa3,David Lord,2025-08-18 10:20:06-07:00,bugfix,Docs: Fix escaping in HTML escaping example (#5742
0f83958247e9eab1c7f62903601dfd5fe10c640f,Badhreesh,2025-05-21 20:35:11+02:00,refactor/others,demonstrate escaping with query string
7fea7cf15688b2a2712b01c45c9e3385ea382e67,David Lord,2025-08-18 10:08:07-07:00,refactor/others,Update macOS UI reference to “System Settings” (#5
24824ff666e096c4c07d0b75a889088571afe4a6,David Lord,2025-08-18 09:56:39-07:00,refactor/others,push preserved contexts in correct order (#5797)
53b8f08218796d95764c5252bccd8a50a173a6fb,David Lord,2025-08-18 09:41:03-07:00,refactor/others,push preserved contexts in correct order
5addaf833b2e8c7a616f89dd8ad5a44b07d7c000,David Lord,2025-08-18 09:42:21-07:00,refactor/others,start version 3.1.2
85c5d93cbd049c4bd0679c36fd1ddcae8c37b642,David Lord,2025-06-12 13:48:07-07:00,refactor/others,Merge branch 'stable'
85cc71046475f9cb3efd17d496356795961249f9,David Lord,2025-06-12 13:46:49-07:00,refactor/others,svg logo
284273e3c5d8005bbb4b43c4d934409a5215886e,David Lord,2025-06-10 13:18:26-07:00,refactor/others,Merge branch 'stable'
f17d9869489aea57d3fa05d5a3f1504fcf8e588c,David Lord,2025-06-10 13:18:15-07:00,refactor/others,cleanup svg
d6009c0aeb3c7fe3a841733e9dbdfbbb63b9bfd1,David Lord,2025-06-09 21:20:46-07:00,refactor/others,Merge branch 'stable'
2b42a803a25e56a3a0e2af939ee5be4dcc3f29c8,David Lord,2025-06-09 21:20:36-07:00,refactor/others,cleanup svg
211cce038ab6354a15a76b2c7f98fa98bfc9e6a3,David Lord,2025-06-09 14:33:44-07:00,refactor/others,Merge branch 'stable'
a7b67c99f922f26b1071a90994e14261dc0a6df2,David Lord,2025-06-09 14:33:26-07:00,refactor/others,svg logo (#5757)
a758915893352f5986c6ee101cdf7e3b7a64fa28,David Lord,2025-06-09 14:31:31-07:00,refactor/others,svg logo
e9741288637e0d9abe95311247b4842a017f7d5c,David Lord,2025-06-08 09:54:32-07:00,refactor/others,Merge branch 'stable'
f04c5e696400badaa52b3450ded53e9091c2078a,David Lord,2025-06-08 09:52:11-07:00,refactor/others,update dev dependencies
c07b201ce336c3e49ae3b6fa81aaf4fb871d90ba,David Lord,2025-06-08 09:47:45-07:00,refactor/others,Merge pull request #5754
adeea0070700671230733879846417c80f4e62b1,David Lord,2025-06-08 09:43:05-07:00,refactor/others,remove slsa provenance
7bf3be8dfa5832ef03a3fd8f07f6736e770440e4,abhiram kamini,2025-05-01 21:10:57+05:30,refactor/others,Update server.rst
a42c4d54a3e5cd56c0700479ede75157a748acd6,David Lord,2025-05-20 12:30:04-04:00,bugfix,Fix global CONTRIBUTING link (#5737)
184ec3c5453e1156372085df35e8d922ce7e3559,AJ Jordan,2025-05-18 11:11:00-04:00,bugfix,Fix global CONTRIBUTING link
a5f9742398c9429ef84ac8a57b0f3eb418394d9e,David Lord,2025-05-13 08:35:41-07:00,refactor/others,drop end of life python versions (#5731)
52df9eed45d0b19c588662ed8492d8fbaa0e7098,David Lord,2025-05-13 08:31:54-07:00,refactor/others,drop end of life python versions
e7e53807766ef1470bce546716a675ded4b08597,David Lord,2025-05-13 08:10:30-07:00,refactor/others,Merge branch 'stable'
bbaf13333fd00644313488243cfe547b13dcae78,David Lord,2025-05-13 08:09:39-07:00,bugfix,fix syntax
57e72869486e89b45f6fd0a07cdd0adf80f5db1b,David Lord,2025-05-13 08:01:42-07:00,refactor/others,release version 3.1.1 (#5730)
7fff56f5172c48b6f3aedf17ee14ef5c2533dfd1,David Lord,2025-05-13 07:51:12-07:00,refactor/others,release version 3.1.1
73d6504063bfa00666a92b07a28aaf906c532f09,David Lord,2025-05-13 07:46:54-07:00,bugfix,Merge commit from fork
cbb6c36692f7d882e9026597624c0eb38e01f9cb,David Lord,2025-03-29 16:18:43-07:00,documentation,update docs about fallback order
fb54159861708558b5f5658ebdc14709d984361c,James Addison,2025-03-10 16:34:12+00:00,bugfix,secret key rotation: fix key list ordering
bc143499cf1137a271a7cf75bdd3e16e43ede2f0,David Lord,2025-05-11 18:08:43-07:00,refactor/others,Merge branch 'stable'
941efd4a36ed0f27e13758874f95e3aa1d3ee163,David Lord,2025-05-11 18:04:35-07:00,refactor/others,use uv (#5727)
0109e496f6ca68de29480fe6413e81b1d3f86aa9,David Lord,2025-05-11 17:45:03-07:00,refactor/others,use uv
11c45eeba3b5bcf06b84f4e864862f1019a3faa3,David Lord,2025-05-11 05:58:48-07:00,refactor/others,update dev dependencies
b78b5a210bde49e7e04b62a2a4f453ca10e0048c,David Lord,2025-03-30 13:17:17-07:00,refactor/others,Merge branch 'stable'
e7851665071cb93b3c70b1e7103f82d1e6d01f5d,David Lord,2025-03-30 13:15:54-07:00,refactor/others,Async Iterable Response (#5659)
410e5ab7ed0ef326fa8b5164a633863f137ffff5,CoolCat467,2024-11-18 12:55:14-06:00,refactor/others,Accept `AsyncIterable` for responses
bfffe87d4c2ea255b9a51432bebb3d28741245c4,David Lord,2025-03-29 15:57:16-07:00,feature,add ghsa links
73ce26c3e822cdc2ccf99625619a50c91f163f8d,David Lord,2025-03-29 15:45:11-07:00,refactor/others,remove tests about deprecated pkgutil.get_loader (
41ec5760a2c55a099c3a1733fdd36fbb1258a02b,David Lord,2025-03-29 15:42:58-07:00,refactor/others,remove tests about deprecated pkgutil.get_loader
2732c4db66763462c2795d2287b61d4f77031342,David Lord,2025-03-29 15:32:28-07:00,feature,add endpoint name in favicon example (#5701)
c94d2a77db0102a7cf8ceec7804f366f180c373f,David Lord,2025-03-29 15:30:56-07:00,feature,add endpoint name in favicon example
315ebc11765ed3b9da8b5271602e89a403376c24,David Lord,2025-03-29 15:28:27-07:00,refactor/others,better type checking during deprecation (#5700)
